Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-08-09,236.65,239.85,235.3,237.25,237.3,1127248,2676.63
2018-08-10,237.3,237.95,231.1,233.65,233.55,2035594,4757.48
2018-08-13,233,236.45,232.25,235.2,234.55,1948583,4573.57
2018-08-14,235,238.5,235,237.4,237.55,1885288,4459.96
2018-08-16,236.05,242,235.95,240.35,239.35,2551480,6106.81
2018-08-17,240.8,244.5,239.2,242.7,243,2838238,6885.52
2018-08-20,244,247,243,244.7,245.15,1690225,4141.83
2018-08-21,246.9,246.9,239.25,240.9,240.55,3272005,7941.4
2018-08-23,240.3,240.6,233.1,235.5,235.45,1553953,3662.36
2018-08-24,234.5,237.2,230.2,231.5,231,1838417,4289.35
2018-08-27,231.8,239.35,231.05,236.8,237.05,1990020,4689.94
2018-08-28,237,239.3,231.3,232.9,233.35,2374782,5571.77
2018-08-29,233.85,237.7,232.7,234.2,234.55,1394661,3280.33
2018-08-30,235.35,237.3,232.1,237.3,236,1921327,4516.57
2018-08-31,237,239.75,232.95,234.65,234.3,3353833,7913.21
2018-09-03,236,243.55,235.05,236.85,236.7,5242852,12538.39
2018-09-04,238.2,238.2,222.6,223.45,223.7,3554859,8163.82
2018-09-05,222,224.6,215.2,222.1,222.4,3023097,6674.93
2018-09-06,224,225,218.2,220.95,221.05,1738824,3856.72
2018-09-07,221,224.5,219.1,223.15,222.95,1232507,2742.84
2018-09-10,222.5,235.15,220.65,221.05,222,7514106,17130.29
2018-09-11,222.5,225.4,214.85,216.35,216,3508990,7735.81
2018-09-12,216.35,223.7,212.65,221.65,222.65,4570939,10002.01
2018-09-14,223.45,236.7,223.3,234,233.95,6377909,14784.5
2018-09-17,233.15,238,230.25,236.4,236.6,3170894,7445.41
2018-09-18,237.9,239.25,233.5,235.5,235.05,2614794,6163.7
2018-09-19,235.95,237.2,233.45,234.6,234.9,1362058,3202.78
2018-09-21,235,237,227.95,233.75,234.6,5395319,12589.59
2018-09-24,233.55,239.2,230.75,234,233.3,3423509,7999.55
2018-09-25,233.3,236.75,232,236.25,236.1,2349368,5503.9
2018-09-26,240,240,232.5,235,234.25,2240909,5248.6
2018-09-27,234.55,236.8,231.1,233.8,233.25,5082859,11859.95
2018-09-28,234.05,235.95,230.2,233.5,233.75,3069914,7162.35
2018-10-01,234.55,234.6,221.05,230.3,230.9,1534749,3486.05
2018-10-03,230,237.5,225.75,226.45,227.6,1708590,3960.27
2018-10-04,223.5,227.8,216.15,217.25,218.2,1728786,3815.79
2018-10-05,217,218.6,205.9,210.25,209.2,3519515,7407.06
2018-10-08,208,222.25,206.85,216,215.15,4642146,10062.83
